
============================================================
compandit library quikie program
M. A. Chatterjee (c) 2012

These routines were developed for use on embedded projects
for more info see the accompanying compand.txt

 index   wave  actDCbias  calcDCbias  calcDCbias(f) alaw
   595   1898     1923       1932      1932.1719      87
   596   1900     1923       1932      1932.0312      87
   597   1902     1923       1931      1931.9062      84
   598   1904     1923       1931      1931.7969      84
   599   1906     1923       1931      1931.6875      84
   600   1908     1923       1931      1931.5938      84
   601   1910     1923       1931      1931.5000      84
   602   1912     1923       1931      1931.4219      84
   603   1914     1923       1931      1931.3438      84
   604   1916     1923       1931      1931.2812      85
   605   1918     1923       1931      1931.2188      85
   606   1920     1923       1931      1931.1719      85
   607   1922     1923       1931      1931.1250      85
   608   1924     1923       1931      1931.0938      85
   609   1926     1923       1931      1931.0625      85
   610   1928     1923       1931      1931.0469      85
   611   1930     1923       1931      1931.0312      85
   612   1932     1923       1931      1931.0312     -43
   613   1934     1923       1931      1931.0312     -43
   614   1936     1923       1931      1931.0469     -43
   615   1938     1923       1931      1931.0625     -43
   616   1940     1923       1931      1931.0938     -43
   617   1942     1923       1931      1931.1250     -43
   618   1944     1923       1931      1931.1719     -43
   619   1946     1923       1931      1931.2188     -43
   620   1948     1923       1931      1931.2812     -44
   621   1950     1923       1931      1931.3438     -44
   622   1952     1923       1931      1931.4219     -44
   623   1954     1923       1931      1931.5000     -44
   624   1956     1923       1931      1931.5938     -44
   625   1958     1923       1931      1931.6875     -44
   626   1960     1923       1931      1931.7969     -44
   627   1962     1923       1931      1931.9062     -44
   628   1964     1923       1932      1932.0312     -41
   629   1966     1923       1932      1932.1562     -41
   630   1968     1923       1932      1932.2812     -41
   631   1970     1923       1932      1932.4219     -41
   632   1972     1923       1932      1932.5625     -41
   633   1974     1923       1932      1932.7188     -41
   634   1976     1923       1932      1932.8750     -41
   635   1978     1923       1933      1933.0469     -41
   636   1980     1923       1933      1933.2188     -41
   637   1982     1923       1933      1933.4062     -42
   638   1984     1923       1933      1933.5938     -42
   639   1986     1923       1933      1933.7969     -42
   640   1860     1923       1933      1933.5000      81
   641   1862     1923       1933      1933.2188      81
   642   1864     1923       1932      1932.9375      81
   643   1866     1923       1932      1932.6719      81
   644   1868     1923       1932      1932.4062      81
   645   1870     1923       1932      1932.1562      86
   646   1872     1923       1931      1931.9062      86
   647   1874     1923       1931      1931.6719      86
   648   1876     1923       1931      1931.4531      86
   649   1878     1923       1931      1931.2344      86
   650   1880     1923       1931      1931.0312      86
   651   1882     1923       1930      1930.8281      86
   652   1884     1923       1930      1930.6406      87
   653   1886     1923       1930      1930.4531      87
   654   1888     1923       1930      1930.2812      87
   655   1890     1923       1930      1930.1094      87
   656   1892     1923       1929      1929.9531      87
   657   1894     1923       1929      1929.8125      87
   658   1896     1923       1929      1929.6719      87
   659   1898     1923       1929      1929.5469      84
   660   1900     1923       1929      1929.4219      84
   661   1902     1923       1929      1929.3125      84
   662   1904     1923       1929      1929.2031      84
   663   1906     1923       1929      1929.1094      84
   664   1908     1923       1929      1929.0156      84
   665   1910     1923       1928      1928.9375      84
   666   1912     1923       1928      1928.8594      84
   667   1914     1923       1928      1928.7969      85
   668   1916     1923       1928      1928.7344      85
